CustomerName,BookingDate,OpportunityID,BookingType,Total,AccountExecutive,SalesOrganization,Team,Product,Renewable
Feedfire,5/4/19,a284ee79-a9ca-413d-a74a-4c949b1997cf,expansion,"$1,693,724.53 ",Gwenni Caro,Global,SOUTH,GOLD,NO
Kare,4/25/19,02175d8a-d0ec-4273-b4f5-3fceab3208dc,renewal,"$645,168.43 ",Tito Bannard,Enterprise,NORTH,BRONZE,NO
Voomm,10/25/18,6a8c72ab-58bc-4a42-8abe-86b0596686c0,expansion,"$101,914.55 ",Timofei Fleming,Mid-Market,EAST,PLATINUM,NO
Shuffletag,8/7/18,f1f3e97f-7ec6-4b36-8d96-92f7f40e8911,new,"$82,987.57 ",Gussy Blandamere,Mid-Market,EAST,BRONZE,NO
Skajo,2/27/19,c1b981ef-8f2c-48bd-8396-30155a17cde8,expansion,"$1,665,098.97 ",Grete Sim,SMB,NORTH,PLATINUM,NO
Feednation,7/17/18,69926cdd-2c08-41b2-a1af-ce6b0f3da339,renewal,"$864,635.54 ",Alecia Musslewhite,Global,SOUTH,SILVER,YES
Devify,10/12/19,1b01cc8d-b3d5-417d-8cbc-ab3794442ba0,new,"$837,825.00 ",Cale Coare,Global,EAST,BRONZE,NO
Wikizz,7/29/18,de2e5b27-cab6-482d-b5f8-e87ea00b58ed,renewal,"$47,532.55 ",Marcille Harmant,Trials,NORTH,GOLD,YES
Gigazoom,2/24/18,d9326494-e2ca-4046-a58e-90da0a02f418,new,"$1,430,601.70 ",Ralf McQuorkel,Global,WEST,GOLD,NO
Jaxnation,9/7/19,53a56e9f-a994-4226-9ba7-b162feb2072c,new,"$1,858,236.56 ",Maura Marfield,Enterprise,SOUTH,BRONZE,YES
Divavu,1/12/20,02c615bc-6670-4f78-badc-c7bc1298f3ed,new,"$354,992.46 ",Dusty Lipsett,Global,SOUTH,PLATINUM,YES
Riffpath,1/29/18,78ebb91d-9b59-40cb-b408-f9a1a20a933f,renewal,"$1,656,763.28 ",Ruby Klemenz,Trials,EAST,PLATINUM,NO
Fivespan,3/24/18,d9d79431-dc1e-4ea6-9d23-87501c53ed47,expansion,"$1,801,104.89 ",Arman Heake,Global,NORTH,GOLD,YES
Tekfly,11/11/18,8141bd52-1509-4e14-bcd3-95f9858aa902,new,"$408,406.63 ",Ingra Reynoollds,Global,WEST,ALLOY,YES
Skinder,12/5/19,87924869-f3a1-4d10-8e24-16944b1b2139,new,"$799,305.74 ",Jodi Lowles,Global,EAST,ALLOY,NO
Topicblab,6/18/19,79c27a1d-55b7-43bd-8070-4fd39efd8f73,renewal,"$1,404,642.96 ",Giffard Misselbrook,Enterprise,SOUTH,PLATINUM,YES
Fivechat,11/22/20,9625b873-d28a-4cc0-bcb3-2cd68f635364,new,"$1,737,878.78 ",Laney Frawley,Global,EAST,PLATINUM,NO
Tagfeed,4/26/18,9250f683-0d21-40c8-bce6-e6cb519c4130,expansion,"$552,938.65 ",Dalia Reppaport,Mid-Market,EAST,BRONZE,YES
Oyoloo,5/27/18,f7d93e7b-9200-48cd-b4bb-0c5d07b1a33b,new,"$948,730.64 ",Von Dunton,Mid-Market,SOUTH,SILVER,NO
Wordtune,4/12/18,58d3c2a9-c3b9-4dd8-bae2-9851f893556c,new,"$520,825.59 ",Rudolph McCrum,Enterprise,WEST,PLATINUM,YES
Yamia,12/26/20,abafd758-f5b5-478d-8cbb-975ce0bf8452,expansion,"$751,411.80 ",Irv Franceschi,Enterprise,SOUTH,GOLD,YES
Ainyx,8/11/18,e7fcde7d-cb34-43d6-9ef3-b57df6ef4a2e,renewal,"$96,632.95 ",Uriah Beisley,Enterprise,EAST,PLATINUM,NO
Fiveclub,7/30/19,d3ceadf9-3256-40af-be35-f7cffe659374,expansion,"$84,921.94 ",Stesha Dun,SMB,NORTH,GOLD,NO
Livetube,12/23/20,1d0304ce-c7ba-46c9-9345-3cdfde2f76e7,expansion,"$1,702,368.23 ",Jade Houldcroft,SMB,SOUTH,PLATINUM,NO
Dynabox,9/8/20,26dc1137-285e-4fa7-9123-0469366e89ca,new,"$1,408,472.39 ",Rainer Speke,Mid-Market,NORTH,SILVER,NO
Aivee,8/6/19,28c0f6a0-8708-49be-a70a-a0087832017e,renewal,"$1,833,773.66 ",Leda Loveitt,Trials,WEST,BRONZE,YES
